name ra1 raerr1(mas) dec1 decerr1(mas) ra2 raerr2(mas) dec2 decerr2(mas)
J0045-3937 011.36640211054 00.3924 -39.62612409509 00.4698 011.36669660782 00.2447 -39.62634581645 00.2349 n
J0116+4052 019.16332958906 00.6539 +40.88118043695 01.1081 019.16376159776 00.2941 +40.88103752878 00.3091 n
J0124-6334 021.00931237493 01.2788 -63.57876446400 01.4151 021.00878370685 00.5127 -63.57881696213 00.3888 n
J0125-1012 021.31744499724 00.4620 -10.20821925082 00.2511 021.31716972677 05.6568 -10.20806654284 05.7231 n
J0127-1441 021.78623927922 00.5538 -14.68874257228 00.3480 021.78538710330 00.8517 -14.68860762911 00.5313 n
J0152-2448 028.07974650633 00.4467 -24.81079457139 00.5436 028.07958030817 00.1321 -24.81028548868 00.1423 n
J0156-2751 029.10417775504 00.4758 -27.85618178960 00.6194 029.10371133408 00.4891 -27.85612437301 00.6931 n
J0209-3841 032.30461951195 00.4714 -38.69622497783 00.5708 032.30470311078 00.3334 -38.69588938679 00.4433 n
J0247-2646 041.87645209047 00.8446 -26.77309646895 01.5015 041.87636934429 03.6391 -26.77276438336 02.4889 n
J0247-6349 041.97832411607 00.4434 -63.82337825413 00.3166 041.97764146059 02.2470 -63.82309507801 01.7094 n
J0325-2232 051.45116732975 00.9594 -22.54075102099 00.6266 051.45100201204 00.4936 -22.54098710843 00.4541 n
J0326-3122 051.52869468946 00.7078 -31.38172978041 01.2656 051.52829064880 00.1913 -31.38153442377 00.3252 n
J0339-6121 054.78730292022 00.1935 -61.36234737083 00.1910 054.78671526797 00.4645 -61.36255615275 00.3629 n
J0355-5624 058.80422007786 09.9039 -56.41495591999 21.7145 058.80376796662 00.5079 -56.41469909009 00.4718 n
J0416-5606 064.17819809039 00.4517 -56.10716730014 00.5164 064.17823678241 01.6468 -56.10745436538 01.7879 n
J0527-2431 081.76085646177 00.2051 -24.53286701334 00.2859 081.76056240771 00.6190 -24.53256389668 00.8126 n
J0628-7448 097.22951935900 00.0848 -74.80109655963 00.0920 097.23191724189 00.8321 -74.80073386450 00.9149 n
J0816+2339 124.14294922548 03.2856 +23.66285961142 02.7810 124.14253355043 01.1329 +23.66326185453 00.6652 n
J0826+7002 126.53489922698 00.0599 +70.04488027748 00.0866 126.53333567219 00.1874 +70.04640918301 00.2380 n
J0833+0331 128.33673702209 00.6151 +03.52476661552 00.4211 128.33713963113 06.9468 +03.52461529094 07.5262 n
J0904+3343 136.17137778465 00.8573 +33.72922555417 00.7189 136.17103838536 00.5870 +33.72891973300 00.4696 n
J0937+5835 144.38303908820 02.0710 +58.59078385803 01.7608 144.38330630986 00.7546 +58.59040980459 00.7213 n
J0954-1421 148.70770359777 01.9091 -14.35276201598 02.0517 148.70810508927 00.5769 -14.35274916300 00.5838 n
J1019-1322 154.80660256706 00.8540 -13.36903484913 00.3847 154.80654728192 04.7453 -13.36934555498 02.7280 n
J1037+0018 159.36633131659 12.2421 +00.30561723429 27.5762 159.36665546518 00.1997 +00.30573785121 00.1916 n	
J1045+3433 161.49776608639 02.2991 +34.56606039164 01.4484 161.49760161369 01.0051 +34.56569099988 00.7254 n
J1206-2543 181.74448974693 00.4675 -25.72524459412 00.3858 181.74508804748 00.7027 -25.72545350116 00.5622 n
J1233-3542 188.32623530484 00.4393 -35.71632791096 00.3771 188.32615709982 00.2130 -35.71576894787 00.2056 n
J1247-3253 191.98519729834 00.3434 -32.89205492485 00.4548 191.98574273197 00.1829 -32.89182066289 00.1375 n
J1344+6200 206.20297612481 00.6587 +62.01231673781 00.4478 206.20492803016 01.2440 +62.01149020651 00.8408 n
J2008+0438 302.00938875545 00.6243 +04.64357029697 00.4258 302.00974049187 00.6806 +04.64334553550 00.5946 n
J2110-3755 317.50151772985 04.5783 -37.91816004920 02.9015 317.50173050199 01.5715 -37.91854733958 01.2855 n
J2205+1019 331.41607929303 01.2787 +10.33062502215 01.4297 331.41643676463 00.2862 +10.33074824518 00.3361 n
J2244-0550 341.04736159546 00.1759 -05.84732280527 00.1690 341.04721341361 00.1414 -05.84708060788 00.1334 n



