number ra1 raerr1(mas) dec1 decerr1(mas) ra2 raerr2(mas) dec2 decerr2(mas) zlens
001 002.83461230299 01.0627 -08.76453593873 00.6629 002.83435538705 00.9107 -08.76407602078 00.6586 n  
002 003.34841963130 00.7203 +51.31874040308 00.5797 003.34810609175 01.9162 +51.31795221967 01.1843 n
003 007.09388026729 03.1221 +06.53119765291 01.0909 007.09369021299 00.3193 +06.53195635516 00.2473 n
008 015.69649592331 00.3063 +24.75424355475 00.3179 015.69712683665 16.9290 +24.75457426359 34.9637 ?
011 018.98905231744 02.1015 -52.74002988848 01.5886 018.98884758562 01.2790 -52.73971919585 01.0509 n
019 026.63710048225 00.2795 -11.56070802218 00.2139 026.63690470925 00.4000 -11.56113205980 00.2296 n
025 034.55152707367 00.6116 -73.59324422248 00.7755 034.55198134704 02.1865 -73.59363432322 02.5456 n   
029 038.86418521395 00.1905 -24.55412173967 00.2360 038.86431605943 00.1380 -24.55356656938 00.1723 n
030 041.35681792712 00.4781 -05.94978529277 00.3606 041.35650514955 03.9178 -05.95021247254 01.8088 n
031 041.55103350443 00.5495 -18.75129472841 00.4528 041.55102328661 00.6236 -18.75157263070 00.4192 n	      
049 078.54537804333 00.2142 -33.43969372647 00.1281 078.54543804406 00.1818 -33.43952147934 00.1786 ?	     
058 116.72082285249 00.4639 +44.06436457853 00.2992 116.72118931414 00.4512 +44.06422022838 00.2838 y	 
063 125.06713099483 00.2141 +08.20443065649 00.1521 125.06685162217 15.9351 +08.20498762934 11.1832 y
064 125.41183307750 03.0300 +12.29223825342 02.3412 125.41226020351 00.2035 +12.29166502836 00.1428 y
067 128.07131838361 02.0483 +04.06775677277 01.7521 128.07082575410 00.4326 +04.06810705344 00.3517 y
068 130.13840904088 00.7195 +35.83333394563 00.4507 130.13749495928 27.9830 +35.83314327697 29.5895 n
071 136.01730712193 00.1547 +15.21515359435 00.1442 136.01757534643 00.8103 +15.21500960959 00.5956 n	
072 136.79365553041 00.6803 +00.05603068779 00.5614 136.79373036630 39.4575 +00.05576813346 17.2664 n	   
080 147.47882107481 01.3497 +42.13319938926 01.0920 147.47829861685 00.4177 +42.13380881639 00.3235 y	
081 147.84403944027 00.3576 +26.58723304436 00.3335 147.84431739542 01.0123 +26.58705585824 00.4931 y
084 234.39360365885 01.0045 +30.24823474502 01.0993 234.39317425530 00.7011 +30.24867687304 01.0151 y
088 153.06628262328 00.1978 -03.11735034984 00.1781 153.06609621918 00.9399 -03.11773483706 01.2059 y      
108 178.82238546314 01.0627 +63.77280546935 01.3093 178.82119763039 00.1868 +63.77269192413 00.1841 y 
112 184.19134800387 00.5298 +35.49490877881 00.7225 184.19185533660 00.2016 +35.49488281010 00.1604 y
114 189.67779516365 01.7184 +28.78265559912 01.1276 189.67791695741 03.4617 +28.78332310650 08.7712 n 
118 194.58010002115 00.3739 +16.95492310056 00.2694 194.58043915987 00.5143 +16.95479476287 00.6794 ?
122 200.24656213211 00.2114 +16.73406398474 00.1967 200.24889129849 00.4048 +16.73489923677 00.3507 y	
123 200.65145293366 01.5465 +10.87806928006 00.5413 200.65175509274 00.2658 +10.87759902111 00.1326 ?
129 203.89495115660 00.1771 +01.30153657953 00.1417 203.89525051935 00.8408 +01.30119918009 00.5233 y
130 204.77975367674 00.3114 +13.17767340145 00.2514 204.78015869507 00.3456 +13.17741254479 00.2668 y
132 208.27646873904 00.0916 +11.63469731394 00.0605 208.27639982978 00.1489 +11.63431688907 00.0987 y
133 208.93065272653 17.0709 -22.95654679066 32.5064 208.93101192585 00.3078 -22.95645812369 00.2521 y
136 211.31418694299 00.7911 +09.99148441571 00.5920 211.31426109539 00.3548 +09.99202743478 00.2753 y  
147 227.18252469979 00.6617 +38.73933746260 00.7109 227.18304714907 03.6170 +38.73957452784 01.5066 n
149 228.91588367784 00.2957 +31.62768942410 00.3162 228.91607385452 01.5005 +31.62807201399 01.2470 n
150 229.51290451086 00.3367 +46.97151081202 00.4396 229.51286318658 09.2130 +46.97113348982 07.2467 n
152 231.12478483313 00.5335 +48.02033571473 00.5605 231.12427926660 03.1138 +48.02055854341 02.8267 n
153 231.18996518624 00.6178 +44.16372976922 00.6820 231.19059286120 07.3611 +44.16394877073 06.0524 y
157 234.39360365885 01.0045 +30.24823474502 01.0993 234.39317425530 00.7011 +30.24867687304 01.0151 y
